id,ACY-738_FUS_plusplus1,ACY-738_FUS_plusplus2,ACY-738_FUS_plusplus3,FUSplusplus_vehicle4,FUSplusplus_vehicle5,FUSplusplus_vehicle6,FUSminusminus_vehicle7,FUSminusminus_vehicle8,FUSminusminus_vehicle9
ENSMUSG00000032489,2.832527754,2.573211334,2.642238226,2.202976559,2.315666023,2.185989623,2.607516935,2.695114711,2.705347998
ENSMUSG00000033196,-2.401568493,-0.903764659,-0.463984579,-0.750471963,-1.018352803,-1.158237802,-0.56041014,1.995900637,0.167584103
ENSMUSG00000084844,2.530709433,2.563678621,2.518843056,2.595276892,2.833307527,2.732783056,2.477856891,2.567941783,2.695426042
ENSMUSG00000020573,2.622522746,2.984813216,2.731091806,2.782242083,2.864175248,2.652761074,2.001920685,1.98765694,1.834119208
ENSMUSG00000009551,2.372598563,2.510522104,2.233593606,2.477857293,2.547243961,2.450115039,2.802299081,2.713235437,2.570941094
ENSMUSG00000056529,2.298975541,2.1936957,2.667027699,2.360013241,2.362953949,2.075336069,0.408439392,0.275154941,0.778468586
ENSMUSG00000034310,2.487559215,2.817727673,2.633163982,2.294400427,2.335962627,2.700999737,2.652166463,2.75117373,2.560908748
ENSMUSG00000094840,2.715414584,2.788197772,2.504429191,2.778315953,2.70646077,2.727754357,2.543498477,2.614196324,2.440785429
ENSMUSG00000032360,2.665745353,2.171176329,2.2933522,2.37280474,2.470648601,2.372412064,2.673008588,2.772507201,2.891443432
ENSMUSG00000009356,2.449623033,2.413147808,2.306924783,1.740443501,2.15677559,2.037539207,2.736167722,3.002360283,2.840189341
ENSMUSG00000036721,2.629043926,2.730003624,2.761167427,2.88017359,2.870792719,2.737982652,2.575095663,2.722445193,2.729320472
ENSMUSG00000049148,2.132642501,1.968605332,2.311672835,2.082293529,1.974376875,2.696614765,2.348316937,2.752407327,2.872315644
